Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
11.5,Integrated,2.6,Gray,Intel Iris Plus Graphics,2021,Dell,5,256,1465.01,14,16,2073600
10.5,Integrated,1.7,Black,Intel UHD Graphics 620,2018,Lenovo,7,256,1656.72,14,16,2073600
10,Dedicated,2.5,Black,Nvidia Geforce 580M,2012,Alienware,7,256,1516.12,17.3,12,2764800
10,Integrated,1,Silver,Intel Iris Xe Graphics,2020,HP,5,256,1631.95,14,8,2073600
11,Integrated,2.4,Storm Grey,Intel Iris Xe Graphics,2021,Lenovo,5,256,1422.43,14,8,2073600
11.5,Integrated,1.7,Silver,Intel HD Graphics 620,2020,HP,5,1000,1359.05,14,16,2073600
10,Dedicated,2,Silver,Intel® UHD Graphics 605,2022,HP,5,256,1154.97,14,8,2073600
11,Integrated,2,Silver,AMD Radeon Graphics,2021,HP,5,512,1418.25,15.6,8,2073600
10.5,Integrated,1,Black,Intel UHD Graphics,2021,Dell,5,256,1669.27,15.6,32,2073600
11.5,Integrated,1.7,Silver,Intel UHD Graphics 620,2020,HP,5,1000,1254.46,13,32,2073600
10.5,Integrated,4.2,Silver,Intel Iris Xe Graphics,2021,HP,5,500,1482.05,14,16,2073600
10,Integrated,2.6,Silver,Intel Iris Xe Graphics,2021,Dell,5,512,1601.26,14,16,2073600
11,Integrated,2.4,Silver,Intel Iris Xe Graphics,2021,Dell,5,256,1461.6,13.3,8,2073600
10,Integrated,1.7,Black,Intel UHD Graphics 620,2018,Lenovo,5,256,947.11,14,8,2073600
10,Integrated,3.6,Sandstone,Intel UHD Graphics,2021,Microsoft,5,256,1447.98,12.4,8,1849344
10,Integrated,2.6,Silver,Intel Iris Xe Graphics,2021,Dell,5,256,1447.98,14,16,2073600
10.5,Integrated,1.9,Black,NVIDIA Quadro P520 Mobile,2020,Lenovo,7,512,1461.6,15.6,16,2073600
11.5,Integrated,2.8,Black,Intel HD Graphics,2017,Lenovo,7,512,1589.57,14,16,2073600
10,Dedicated,2.6,Black,NVIDIA GeForce GTX 970M,2016,Razer,7,256,1533.15,14,16,5760000
11,Integrated,4.4,Gold,Intel Iris Xe Graphics,2021,HP,5,256,1669.43,13,8,2073600
10,Dedicated,4.2,Black,NVIDIA GeForce GTX 1650,2021,Lenovo,4,256,1563.81,15.6,8,2073600
10,Integrated,1,Sandstone,Intel UHD Graphics,2020,Microsoft,5,128,1413.87,12.4,8,1572864
10.5,Integrated,4.4,Grey,Intel Iris Xe Graphics,2021,Dell,5,256,1589.74,14,8,2073600
11,Integrated,2.4,Silver,Intel Iris Xe Graphics,2021,HP,5,256,1464.84,15.6,8,2073600
11.5,Integrated,2.4,Silver,Intel Iris Xe Graphics,2020,HP,5,256,1460.09,14,8,2073600
11,Integrated,4,Black,NVIDIA GeForce GTX 1050,2018,MSI,5,256,1690.14,15.6,8,2073600
11,Integrated,4.3,White,AMD Radeon Graphics,2022,HP,4,256,1632.81,13.3,16,2304000
11,Integrated,1.8,Silver,Intel UHD Graphics 620,2019,Samsung,7,256,1533.12,13.3,8,2073600
10.5,Integrated,2.6,Gray,Intel Iris Xe Graphics,2021,Dell,5,512,1533.12,14,16,2073600
10,Integrated,1.9,Black,Intel UHD Graphics 620,2019,Lenovo,7,256,1529.74,14,16,2073600
10,Integrated,3,Silver,Intel Iris Xe Graphics,2021,Dell,7,256,1529.74,14,16,2073600
10,Integrated,1.1,Silver,Intel Iris Plus Graphics,2020,Acer,5,256,1601.12,13.5,8,3393024
11,Integrated,2.3,Silver,AMD Radeon Graphics,2022,Dell,4,512,1427.53,14,8,2304000
11.5,Integrated,1.7,Silver,Intel UHD Graphics 620,2021,HP,5,256,1533.15,14,16,2073600
10,Dedicated,1.8,Silver,Nvidia Geforce Mx150,2018,HP,7,256,1567.19,17.3,12,2073600
11,Integrated,1.3,Black,Integrated graphics,2019,Google,5,128,1619.07,13,16,2073600
10,Integrated,1.8,Silver,Intel UHD Graphics,2020,Samsung,7,512,1464.98,13.3,12,2073600
10,Integrated,2.1,Black,AMD Radeon Graphics,2021,ASUS,4,256,1511.01,14,8,2073600
11,Integrated,2.3,Silver,Intel Iris Plus Graphics 640,2017,Apple,5,256,1673.41,13.3,8,4096000
11.5,Integrated,3.9,Black,Intel UHD Graphics 620,2021,Dell,7,1000,1700.1,14,16,2073600
10.5,Integrated,1.8,Gray,AMD Radeon Graphics,2021,Lenovo,6,512,1771.61,15.6,16,2073600
11.5,Dedicated,2.6,Black,NVIDIA GeForce GTX 1650,2021,Acer,7,256,1737.57,15.6,16,2073600
11,Dedicated,3.3,Black,NVIDIA GeForce RTX 3050 Ti,2021,ASUS,5,1000,1771.64,13.4,16,2304000
11.5,Integrated,1.6,Silver,Intel UHD Graphics 620,2020,Dell,5,1000,1672.82,13,8,2073600
10,Dedicated,2.2,Black,NVIDIA GeForce RTX 3070,2021,Alienware,7,512,1976.06,15.6,16,2073600
11,Integrated,2.8,Blue,Intel Iris Xe Graphics,2021,Samsung,7,512,1703.47,13.3,16,2073600
10,Integrated,4.2,Silver,Intel Iris Xe Graphics,2021,HP,5,512,1873.68,15.6,8,2073600
10,Integrated,2.6,Silver,Intel Iris Xe Graphics,2021,Dell,5,256,1700.1,14,16,2073600
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1223.11,15.6,8,1049088
11,Integrated,2.4,Black,Intel Iris Xe Graphics,2021,Microsoft,5,256,1958.99,13,8,5529600
11,Dedicated,4.7,Black,NVIDIA GeForce RTX 3050 Ti,2022,MSI,7,1000,1953.25,17.3,8,2073600
11,Dedicated,4.4,Silver,NVIDIA GeForce GTX 1650,2022,HP,5,256,1974.32,15.6,8,2073600
10.5,Integrated,2.6,Silver,Intel Iris Xe Graphics,2022,HP,5,256,1882.63,13.3,16,2073600
10.5,Dedicated,3,Black,NVIDIA Quadro P3000,2017,HP,5,512,1907.68,17.3,32,2073600
11.5,Dedicated,2.8,Graphite Grey,NVIDIA GeForce MX450,2021,Lenovo,7,1000,1703.47,15.6,16,8294400
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1768.24,15.6,8,2073600
11.5,Integrated,2.6,Grey,Integrated,2018,HP,7,500,1882.63,15.6,32,2073600
11,Integrated,2,Silver,Integrated Intel UHD Graphics,2022,Acer,3,256,1291.25,15.6,8,2073600
11,Dedicated,3.3,Black,NVIDIA GeForce RTX 3050 Ti,2022,ASUS,8,1000,1703.33,13.4,16,2304000
10.5,Integrated,1.2,Gray,Intel Iris Xe Graphics,2021,Dell,7,512,1873.78,15.6,16,2073600
10,Integrated,2.8,Silver,Intel Iris Xe Graphics,2021,ASUS,7,512,1980.29,15.6,12,2073600
11,Dedicated,2.2,Black,NVIDIA GeForce GTX 1070 w/ Max-Q Design,2018,Razer Blade,7,128,1873.82,15.6,16,2073600
11.5,Dedicated,1.9,Silver,GeForce GTX 1060,2017,Microsoft,7,512,1703.47,15,16,2073600
10,Dedicated,2.5,Black,NVIDIA GeForce GTX 1650,2020,Acer,5,256,1740.95,15.6,8,2073600
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2019,Dell,5,1000,731.51,13,16,786432
11,Integrated,2.4,Silver,Intel HD Graphics,2021,Microsoft,5,128,1958.99,13,8,5529600
10,Integrated,4.2,Silver,Intel Iris Xe Graphics,2021,HP,5,512,1869.59,15.6,8,2073600
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1257.18,15.6,8,1049088
10,Integrated,1.8,Grey,NVIDIA GeForce MX250,2020,Huawei,7,512,1987.22,13.9,8,6000000
11,Integrated,2.8,Silver,Intel Iris Xe Graphics,2021,Acer,7,512,1882.63,14,8,2073600
